city,records,thermal_sensation,ta,top,rh,vel,met,clo,latitude,t_out_min,HDD,tsr,p_dh,p_nv
HainanSanya,5,0.6,24.88,24.88,70.2,0.0,0.98,0.33,18.25,21.0,7.1,0.8,0.0,1.0
GuangdongGuangzhou,997,-0.01,23.85,23.88,52.94,0.1,1.0,0.86,23.13,13.7,325.1,0.9,0.0,0.0
YunnanKunming,415,-1.15,13.62,13.62,16.95,0.28,1.08,0.65,24.87,9.2,1242.3,0.66,0.0,1.0
FujianFuzhou,7,-0.71,18.1,18.1,67.43,0.0,0.89,0.35,26.08,11.3,655.5,0.86,0.0,1.0
FujianZhenjiang,2,-0.5,22.9,22.9,74.5,0.0,0.9,0.31,26.1,10.0,835.5,0.5,0.0,1.0
FujianNanping,4,0.0,17.9,17.9,60.25,0.0,0.88,0.42,26.64,10.1,757.8,1.0,0.0,1.0
HunanHengyang,1,-1.0,16.9,16.9,66.0,0.0,0.9,0.66,26.89,6.3,2316.8,1.0,0.0,1.0
HunanChangsha,1108,-0.4,17.22,17.41,48.35,0.03,1.02,0.95,28.23,5.2,1319.0,0.89,0.0,0.58
SichuanZigong,23,-0.22,11.03,11.03,66.52,0.0,1.0,1.59,29.34,7.6,1087.9,0.78,0.0,1.0
Lhasa,355,-1.1,10.64,10.64,71.19,0.02,1.1,1.25,29.65,-0.2,2861.5,0.64,0.01,0.68
HubeiWuhan,526,-1.55,12.63,12.91,47.98,0.09,1.07,1.88,30.58,4.1,1412.7,0.49,0.0,1.0
Shanghai,2131,-0.05,20.58,20.84,52.26,0.03,1.1,0.88,31.23,5.2,1341.2,0.92,0.0,0.18
JiangsuChangzhou,144,0.35,21.4,20.51,41.18,0.01,1.02,1.15,31.78,3.9,1566.2,0.88,0.0,0.0
HenanNanyang,251,-0.41,12.22,12.22,66.37,0.0,1.0,1.31,32.99,1.8,1769.1,0.71,0.0,0.62
HenanPingdingshan,5,-0.8,17.56,17.56,57.8,0.0,0.94,0.79,33.74,0.7,1910.3,1.0,0.2,0.8
ShaanxiXi'an,1686,0.52,23.03,23.04,21.92,0.04,1.14,0.73,34.26,3.1,1901.9,0.76,0.7,0.0
HenanLuoyang,45,-0.18,20.16,19.04,30.62,0.0,1.0,1.05,34.62,0.8,1877.9,0.93,0.0,0.04
HenanZhengzhou,96,0.66,23.52,22.3,28.9,0.0,1.01,1.19,34.75,0.8,1886.6,0.67,0.04,0.0
HenanKaifeng,1,0.0,13.0,13.0,50.0,0.0,0.8,0.42,34.79,0.6,1886.6,1.0,0.0,1.0
HenanJiaozuo,888,-0.26,16.8,16.8,49.04,0.02,1.1,1.19,35.24,1.5,1886.6,0.98,1.0,0.0
ShandongXintai,3,0.33,22.83,22.83,31.0,0.0,0.9,0.69,35.9,-7.4,3931.3,1.0,1.0,0.0
ShandongQingdao,1,1.0,23.0,23.0,27.0,0.0,1.0,0.5,36.07,0.1,2409.1,1.0,1.0,0.0
HebeiHandan,26,-0.38,19.58,19.3,35.81,0.0,0.98,1.45,36.62,-0.8,2096.8,0.92,1.0,0.0
ShanxiLvliangfenyang,9,-0.22,21.13,21.13,40.56,0.0,0.97,0.41,37.51,-4.8,3029.4,1.0,1.0,0.0
ShandongYantai,7,0.86,25.67,25.67,34.0,0.0,1.1,0.8,37.53,-1.3,2287.5,0.71,0.86,0.14
LiaoningDalian,1703,0.29,22.49,22.46,36.87,0.0,0.99,0.98,38.92,-3.4,2749.2,0.85,0.8,0.0
Tianjin,730,0.22,24.56,24.5,27.41,0.02,1.16,0.81,39.12,-3.3,2455.6,0.95,0.98,0.0
Beijing,651,-0.03,22.95,22.07,28.61,0.07,1.06,0.92,39.9,-2.8,2466.0,0.86,0.76,0.0
Baotou,303,0.02,19.77,19.28,36.36,0.05,1.07,0.34,40.65,-10.4,4108.3,0.9,1.0,0.0
Hohhot,12,-0.33,20.73,20.73,36.83,0.0,0.96,0.51,40.82,-10.7,4108.3,1.0,1.0,0.0
LiaoningBenxi,22,-0.14,19.74,19.74,41.09,0.0,0.96,1.04,41.29,-10.9,4920.4,0.73,1.0,0.0
Turpan,283,-0.03,18.21,19.44,33.9,0.02,1.19,1.42,42.94,-6.5,2482.8,0.92,0.0,0.19
HeilongjiangHarbin,3552,0.29,23.09,22.71,32.61,0.04,1.01,0.92,45.75,-17.4,3584.9,0.82,1.0,0.0
